filename,path,file_kind,content_hash,status,created,notes
autopoiesis_system.md,raw/autopoiesis_system.md,md,708ee8f8d07379bae69e1774c1cba81002bcbb923d90699210e3c3a09ebf5ea0,new,2026-04-13T00:36:51.175696,
board_gate_pattern.md,raw/board_gate_pattern.md,md,5ddbb160292bc8387a9d70b4d3060c3c843651e5af5ef68e156bab47a0701c06,new,2026-04-13T00:36:51.176276,
claw_session.md,raw/claw_session.md,md,0ef760dbcb681b6148b3546a9065d919e2eec7c5432c417a07c7213bb1ef8ce0,new,2026-04-13T00:36:51.177241,
cleansing_protocol.md,raw/cleansing_protocol.md,md,b5b3922be9089eb922885b17d43a45d212f4078f7ed6c85a899554499a6eead5,new,2026-04-13T00:36:51.188096,
desk_zone.md,raw/desk_zone.md,md,8719d650771e57b8cb2c6dda66c04511f3223100d4954abb4fa2c1d02fcb9213,new,2026-04-14T16:50:21.976842,
facet_orthogonalization.md,raw/facet_orthogonalization.md,md,09c124cfbbf2a74ec7fb10ea1638c9348b6707bf3430cdba774567b11f3bac27,new,2026-04-13T00:36:51.189021,
facets_as_questions.md,raw/facets_as_questions.md,md,1159abdd773043bbfb19f64dd1bb2058bf81d60b78a5f5954777a51ee89cc0ed,new,2026-04-13T00:36:51.189315,
git_tracked_nodes.md,raw/git_tracked_nodes.md,md,7c36edc7b0a0b842072085f28a670c5aa2609fe5be25d43befc28a8bd7788a7c,new,2026-04-13T00:36:51.189624,
graph_construction_process.md,raw/graph_construction_process.md,md,5cce04b66b0ac2624ccae799d5a8d22e00e6b9dd15ccc31cb63eb7dcb12cfaa9,new,2026-04-13T00:36:51.190364,
karpathy_tweet.md,raw/karpathy_tweet.md,md,051a1d103b16a3c3cd7b3b9803e370f9fd05cca932634c6d43f0bf6e10ca3286,new,2026-04-13T00:36:51.191577,
methodology_synthesis.md,raw/methodology_synthesis.md,md,509baf32ca0ea70f59fdc2382e05095dde9fba07ad7092c46d49ecdca431bc34,new,2026-04-13T00:36:51.192825,
methodology_synthesis_addendum.md,raw/methodology_synthesis_addendum.md,md,4084c2da6197485937ca035f86e9b26279ac1b2b99f034e9b01605dc9519f504,new,2026-04-13T00:36:51.195008,
methodology_synthesis_extended.md,raw/methodology_synthesis_extended.md,md,0eaf49dde8b77f6999c8e390207549968bc290d82d4774999f7136fecc61fb30,new,2026-04-13T00:36:51.197126,
methodology_synthesis_graph_routing.md,raw/methodology_synthesis_graph_routing.md,md,f3dc9e1e39adb5e4a5de79310c1d485370d2a57b60fefe5d804c156f6e25fe2e,new,2026-04-13T00:36:51.199455,
socratic_protocol.md,raw/socratic_protocol.md,md,1ecd4801eb5667e7d2265db07683a47f662dafe281c76a92522cdfe19f2a5a99,new,2026-04-13T00:36:51.201075,
system_concept.md,raw/system_concept.md,md,1b44fcf0a25e5628440aa7a45a1ca2873540bf3607cc12b6f41476a6505101d8,new,2026-04-13T00:36:51.202894,
trail_collect.md,raw/trail_collect.md,md,b5310580e40950c0da96febcf8d445391a89da95cb9c5c05c5157e3032195588,new,2026-04-13T00:36:51.204394,
unimplemented_from_sourcetalk.md,raw/unimplemented_from_sourcetalk.md,md,1a7f8c9ba485c0342c7bddb0d133479345f1edd3e7047103e0544db195914f61,new,2026-04-13T00:36:51.205980,
wiki_construction_principles.md,raw/wiki_construction_principles.md,md,adb2697fc76ec9f466878e73986e50abfad611e8104bf6edd4d6d0952660dedf,new,2026-04-13T00:36:51.208470,
